name,year_start,height,weight,college,pos,age,per,team,conf
Dennis Bell,1974,195.58,83.91452,Drake University,SF,22.0,-6.8,NYK,East
Raja Bell,2001,195.58,92.532768,Florida International University,SG,24.0,-0.6,PHI,East
Troy Bell,2004,185.42000000000002,81.64656,Boston College,PG,23.0,-4.5,MEM,West
Whitey Bell,1960,182.88,81.64656,North Carolina State University,PG,27.0,10.3,NYK,East
Walt Bellamy,1962,210.82,102.0582,Indiana University,C,22.0,26.3,CHP,West
DeAndre' Bembry,2017,198.12,95.25431999999999,Saint Joseph's University,SF,22.0,8.8,ATL,East
Irv Bemoras,1954,190.5,83.91452,University of Illinois at Urbana-Champaign,SF,23.0,12.7,MLH,West
Leon Benbow,1975,193.04,83.91452,Jacksonville University,SG,24.0,10.8,CHI,East
Jerrelle Benimon,2015,203.2,111.13004,Towson University,PF,23.0,4.7,UTA,West
Benoit Benjamin,1986,213.36,113.398,Creighton University,C,21.0,16.1,LAC,West
Corey Benjamin,1999,198.12,90.7184,Oregon State University,PG,20.0,8.3,CHI,East
Anthony Bennett,2014,203.2,111.13004,"University of Nevada, Las Vegas",PF,20.0,6.9,CLE,East
Elmer Bennett,1995,182.88,77.11064,University of Notre Dame,PG,24.0,32.5,CLE,East
Mario Bennett,1996,198.12,106.59412,Arizona State University,SF,22.0,13.3,PHO,West
Tony Bennett,1993,182.88,79.3786,University of Wisconsin-Green Bay,PG,23.0,9.3,CHH,East
Winston Bennett,1990,200.66,95.25431999999999,University of Kentucky,SF,24.0,10.0,CLE,East
David Benoit,1992,203.2,99.79024,University of Alabama,SF,23.0,12.1,UTA,West
Keith Benson,2012,210.82,108.86207999999999,Oakland University,C,23.0,6.0,GSW,West
Kent Benson,1978,208.28,106.59412,Indiana University,C,23.0,13.2,MIL,East
Ben Bentil,2017,205.74,106.59412,Providence College,PF,21.0,-17.6,DAL,West
Gary Bergen,1957,203.2,95.25431999999999,University of Utah,C,24.0,4.7,NYK,East
Ricky Berry,1989,203.2,92.98636,San Jose State University,SG,24.0,13.1,SAC,West
